GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
4911;Межрайонная инспекция Федеральной налоговой службы №2 по Магаданской области;,686110,Магаданская обл,Хасынский р-н,,Палатка рп,Космонавтов ул,09,,;8 41342 9-28-60 8 41342 9-38-04;Код ОКПО: 55426306.Режим работы:понедельник-пятница 8.45-18.30, обед 12.45-14.15. Отдел по работе с налогоплательщиками: понедельник, среда 9-18, вторник, четверг 9-20, пятница 9-16.45, без перерыва на обед. 2-я и 4-я суббота с 10 до 15.;Управление Федерального казначейства по Магаданской области;44701000;4909053790;490901001;ГРКЦ ГУ БАНКА РОССИИ ПО МАГАДАНСКОЙ ОБЛ.;044442001;;40101810300000010001;49013;Межрайонная инспекция Федеральной налоговой службы № 2 по Магаданской области;686110, Магаданская область, Хасынский район, Палатка рп., Космонавтов ул., 9;9 413 42-92860 8 413 42 92392;Режим работы: понедельник - четверг с 9 до 18, пятница с 9 до 16.45, без перерыва на обед.;49013;Межрайонная инспекция Федеральной налоговой службы № 2 по Магаданской области;686110, Магаданская область, Хасынский район, Палатка рп., Космонавтов ул., 9;9 413 42-92860 8 413 42 92392;Режим работы: понедельник - четверг с 9 до 18, пятница с 9 до 16.45, без перерыва на обед.
4912;Межрайонная инспекция Федеральной налоговой службы №3 по Магаданской области;,686230,Магаданская обл,Ягоднинский р-н,,Ягодное рп,Строителей ул,8,,;8 41343 2-33-20 8 41343 2-23-10;Код ОКПО:55426660. Режим работы:понедельник-пятница 8.45-18, обед 12.45-14.00. Отдел по работе с налогоплательщиками: понедельник, среда 9-18, вторник, четверг 9-20, пятница 9-17, без перерыв на обед. 1-я и 3-я суббота с 10 до 15.;Управление Федерального казначейства по Магаданской области;44701000;4909053790;490901001;ГРКЦ ГУ БАНКА РОССИИ ПО МАГАДАНСКОЙ ОБЛ.;044442001;;40101810300000010001;49014;Межрайонная инспекция Федеральной налоговой службы № 3 по Магаданской области;686230, Магаданская область, Ягоднинский район, Ягодное рп., Строителей ул., 8;8 413 43-23320 8 413 43 22310;Режим работы: понедельник - четверг с 9 до 18, пятница с 9 до 16.45, без перерыва на обед.;49014;Межрайонная инспекция Федеральной налоговой службы № 3 по Магаданской области;686230, Магаданская область, Ягоднинский район, Ягодное рп., Строителей ул., 8;8 413 43-23320 8 413 43 22310;Режим работы: понедельник - четверг с 9 до 18, пятница с 9 до 16.45, без перерыва на обед.
5001;Инспекция Федеральной налоговой службы по г.Балашихе Московской области;,143912,Московская обл,,Балашиха г,,Энтузиастов ш,7,Б,;495-5215458, 495-5214056, 495-5210601;Код ОКПО:11761475, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50066;Инспекция Федеральной налоговой службы по г.Балашихе Московской области;,143912,Московская обл,,Балашиха г,,Энтузиастов ш,7б,,;495-5210600;;50066;Инспекция Федеральной налоговой службы по г.Балашихе Московской области;,143912,Московская обл,,Балашиха г,,Энтузиастов ш,7б,,;495-5210600;
5003;Межрайонная инспекция Федеральной налоговой службы №14 по Московской области;,142700,Московская обл,,Видное г,,Заводская ул,22А,,;495-5411255, 495-5410343, 495-5481564, 498-5473002;Код ОКПО:34884594. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50067;Межрайонная инспекция Федеральной налоговой службы №14 по Московской области;,142700,Московская обл,,Видное г,,Заводская ул,22А,,;495-5411255, 495-5490271;;50067;Межрайонная инспекция Федеральной налоговой службы №14 по Московской области;,142700,Московская обл,,Видное г,,Заводская ул,22А,,;495-5411255, 495-5490271;
5004;Межрайонная инспекция Федеральной налоговой службы №19 по Московской области;,143600,Московская обл,,Волоколамск г,,Октябрьская пл,9,,;496-3621013, 496-2871551, 496-3621062;Код ОКПО:11761512. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50068;Межрайонная инспекция Федеральной налоговой службы №19 по Московской области;,143600,Московская обл,,Волоколамск г,,Октябрьская пл,9,,;49636-41672;;50068;Межрайонная инспекция Федеральной налоговой службы №19 по Московской области;,143600,Московская обл,,Волоколамск г,,Октябрьская пл,9,,;49636-41672;
5005;Инспекция Федеральной налоговой службы по г.Воскресенску Московской области;,140205,Московская обл,Воскресенский р-н,Воскресенск г,,Докторова ул,18,,;496-4425770, 496-4427379, 496-4410183;Код ОКПО:11761529. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50069;Инспекция Федеральной налоговой службы по г.Воскресенску Московской области;,140200,Московская обл,,Воскресенск г,,Докторова ул,18,,;49644-25770;;50069;Инспекция Федеральной налоговой службы по г.Воскресенску Московской области;,140200,Московская обл,,Воскресенск г,,Докторова ул,18,,;49644-25770;
5007;Инспекция Федеральной налоговой службы по г.Дмитрову Московской области;,141800,Московская обл,,Дмитров г,,Пушкинская ул,73,,;496-2274446, 49622-74406, 49622-74314,;Код ОКПО:11761541. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50071;Инспекция Федеральной налоговой службы по г.Дмитрову Московской области;,141800,Московская обл,,Дмитров г,,Пушкинская ул,73,,;495-9939349;;50071;Инспекция Федеральной налоговой службы по г.Дмитрову Московской области;,141800,Московская обл,,Дмитров г,,Пушкинская ул,73,,;495-9939349;
5009;Инспекция Федеральной налоговой службы по г.Домодедово Московской области;,142000,Московская обл,,Домодедово г,,Красноармейская ул,42а,,;49679-76425, 496-7940864;Код ОКПО:11761564. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50073;Инспекция Федеральной налоговой службы по г.Домодедово Московской области.;,142000,Московская обл,,Домодедово г,,Красноармейская ул,42а,,;49679-40864, 49679-44480;;50073;Инспекция Федеральной налоговой службы по г.Домодедово Московской области.;,142000,Московская обл,,Домодедово г,,Красноармейская ул,42а,,;49679-40864, 49679-44480;
5010;Межрайонная инспекция Федеральной налоговой службы №12 по Московской области;,141981,Московская обл,,Дубна г,,Боголюбова пр-кт,30,,;496-2127652, 496-2120246, 496-2120258;Код ОКПО:11761570. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50074;Межрайонная инспекция Федеральной налоговой службы №12 по Московской области;,141980,Московская обл,,Дубна г,,Боголюбова пр-кт,30,,;49621-20246;;50074;Межрайонная инспекция Федеральной налоговой службы №12 по Московской области;,141980,Московская обл,,Дубна г,,Боголюбова пр-кт,30,,;49621-20246;
5011;Инспекция Федеральной налоговой службы по г.Егорьевску Московской области;,140300,Московская обл,,Егорьевск г,,Александра Невского ул,7/62,,;496-4049104, 49640-40404;Код ОКПО:11761587, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50076;Инспекция Федеральной налоговой службы по г.Егорьевску Московской области;,140300,Московская обл,,Егорьевск г,,А.Невского ул,7/62,,;49640-40404;;50076;Инспекция Федеральной налоговой службы по г.Егорьевску Московской области;,140300,Московская обл,,Егорьевск г,,А.Невского ул,7/62,,;49640-40404;
5012;Межрайонная инспекция Федеральной налоговой службы №20 по Московской области;,143980,Московская обл,,Железнодорожный г,,Интернациональная ул,22а,,;495-9819802, 495-5226056, 495-5225394;Код ОКПО:46424000000. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50129;Межрайонная инспекция Федеральной налоговой службы №20 по Московской области;,143980,Московская обл,,Железнодорожный г,,Интернациональная ул,22а,,;495-5225394;;50129;Межрайонная инспекция Федеральной налоговой службы №20 по Московской области;,143980,Московская обл,,Железнодорожный г,,Интернациональная ул,22а,,;495-5225394;
5017;Инспекция Федеральной налоговой службы по г.Истре Московской области;,143500,Московская обл,,Истра г,,Советская ул,12,,;495-994-38-49, 495-994-38-48, 495-9945947;Код ОКПО:11761653. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50081;Инспекция Федеральной налоговой службы по г.Истре Московской области;,143500,Московская обл,,Истра г,,Советская ул,12,,;495-9943947;;50081;Инспекция Федеральной налоговой службы по г.Истре Московской области;,143500,Московская обл,,Истра г,,Советская ул,12,,;495-9943947;
5018;Межрайонная инспекция Федеральной налоговой службы №2 по Московской области;,141070,Московская обл,,Королев г,,Богомолова ул,4,,;495-5166321, 495-5119126;Код ОКПО:11761660. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50082;Межрайонная инспекция Федеральной налоговой службы №2 по Московской области;,141070,Московская обл,,Королев г,,Богомолова ул, 4,,;495-5165624;;50082;Межрайонная инспекция Федеральной налоговой службы №2 по Московской области;,141070,Московская обл,,Королев г,,Богомолова ул, 4,,;495-5165624;
5019;Межрайонная инспекция Федеральной налоговой службы №18 по Московской области;,142900,Московская обл,,Кашира г,,Карла Маркса ул,2,,;496-6932195, 496-6732600;Код ОКПО:11761676. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50083;Межрайонная инспекция Федеральной налоговой службы №18 по Московской области;,142900,Московская обл,,Кашира г,,Карла Маркса ул,2,,;49669-31022;;50083;Межрайонная инспекция Федеральной налоговой службы №18 по Московской области;,142900,Московская обл,,Кашира г,,Карла Маркса ул,2,,;49669-31022;
5020;Инспекция Федеральной налоговой службы по г.Клину Московской области;,141601,Московская обл,,Клин г,,Гайдара ул,25,,;496-2431500, 496-2458446;Код ОКПО:11761682. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50084;Инспекция Федеральной налоговой службы по г.Клину Московской области;,141600,Московская обл,,Клин г,,Гайдара ул,25,,;49624-35155;;50084;Инспекция Федеральной налоговой службы по г.Клину Московской области;,141600,Московская обл,,Клин г,,Гайдара ул,25,,;49624-35155;
5022;Межрайонная инспекция Федеральной налоговой службы №7 по Московской области;,140410,Московская обл,,Коломна г,,Фрунзе ул,43,,;496-6144965, 49670-23386;Код ОКПО:13300620. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50201;Межрайонная инспекция Федеральной налоговой службы №7 по Московской области;,140411,Московская обл,,Коломна г,,Фрунзе ул,43,,;496-61-25398;;50201;Межрайонная инспекция Федеральной налоговой службы №7 по Московской области;,140411,Московская обл,,Коломна г,,Фрунзе ул,43,,;496-61-25398;
5024;Инспекция Федеральной налоговой службы по г.Красногорску Московской области;,143400,Московская обл,,Красногорск г,,Братьев Горожанкиных ул,2а,,;495-2121635, 495-5647423;Код ОКПО:11761713. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50088;Инспекция Федеральной налоговой службы по г.Красногорску Московской области;,143400,Московская обл,,Красногорск г,,Бр.Горожанкиных ул,2а,,;495-5646720;;50088;Инспекция Федеральной налоговой службы по г.Красногорску Московской области;,143400,Московская обл,,Красногорск г,,Бр.Горожанкиных ул,2а,,;495-5646720;
5027;Межрайонная инспекция Федеральной налоговой службы №17 по Московской области;,140000,Московская обл,,Люберцы г,,Котельническая ул,6,,;495-7400022, 495-5031163;Код ОКПО:11761742. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50091;Межрайонная инспекция Федеральной налоговой службы №17 по Московской области;,140000,Московская обл,,Люберцы г,,Котельническая ул,6,,;495-5031163;;50091;Межрайонная инспекция Федеральной налоговой службы №17 по Московской области;,140000,Московская обл,,Люберцы г,,Котельническая ул,6,,;495-5031163;
5029;Инспекция Федеральной налоговой службы по г.Мытищи Московской области;,141021,Московская обл,,Мытищи г,,Летная ул.,30,1,;498-6848707, 495-5867422;Код ОКПО:11761765. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50093;Инспекция Федеральной налоговой службы по г.Мытищи Московской области;141021, Московская область,г. Мытищи, ул. Летная, д.30, корп.1;495-5861300;;50093;Инспекция Федеральной налоговой службы по г.Мытищи Московской области;141021, Московская область,г. Мытищи, ул. Летная, д.30, корп.1;495-5861300;
5030;Инспекция Федеральной налоговой службы по г.Наро-Фоминску Московской области;,143300,Московская обл,Наро-Фоминский р-н,Наро-Фоминск г,,Маршала Жукова ул,13,,;496-3430669, 496-3438485, 496-3437012;Код ОКПО:11761771. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50094;Инспекция Федеральной налоговой службы по г.Наро-Фоминску Московской области;,143300,Московская обл,,Наро-Фоминск г,,Маршала Жукова ул,13,,;49634-37012;;50094;Инспекция Федеральной налоговой службы по г.Наро-Фоминску Московской области;,143300,Московская обл,,Наро-Фоминск г,,Маршала Жукова ул,13,,;49634-37012;
5031;Инспекция Федеральной налоговой службы по г.Ногинску Московской области;,142400,Московская обл,,Ногинск г,,Рабочая ул,105,,;49651-45608;Код ОКПО:11761788. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50096;Инспекция Федеральной налоговой службы по г.Ногинску Московской области;,142400,Московская обл,,Ногинск г,,Рабочая ул,105,,;49651-42193, 49651-45575;;50096;Инспекция Федеральной налоговой службы по г.Ногинску Московской области;,142400,Московская обл,,Ногинск г,,Рабочая ул,105,,;49651-42193, 49651-45575;
5032;Межрайонная инспекция Федеральной налоговой службы №22 по Московской области;,143002,Московская обл,,Одинцово г,,Молодежная ул,32,,;495-5971175;Код ОКПО:11761794. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50097;Межрайонная инспекция Федеральной налоговой службы №22 по Московской области;,143002,Московская обл,,Одинцово г,,Молодежная ул,32,,;495-5930701;;50097;Межрайонная инспекция Федеральной налоговой службы №22 по Московской области;,143002,Московская обл,,Одинцово г,,Молодежная ул,32,,;495-5930701;
5034;Межрайонная инспекция Федеральной налоговой службы №10 по Московской области;,142613,Московская обл,,Орехово-Зуево г,,Северная ул,12в,,;496-4232216, 496-4251507;Код ОКПО:53132581. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50099;Межрайонная инспекция Федеральной налоговой службы №10 по Московской области;,142613,Московская обл,,Орехово-Зуево г,,Северная ул,12в,,;49642-51508, 49642-32254;;50099;Межрайонная инспекция Федеральной налоговой службы №10 по Московской области;,142613,Московская обл,,Орехово-Зуево г,,Северная ул,12в,,;49642-51508, 49642-32254;
5035;Инспекция Федеральной налоговой службы по г.Павловскому Посаду Московской области;,142502,Московская обл,,Павловский Посад г,,Фрунзе ул,30,,;496-4392257, 496-4357092;Код ОКПО:117561890. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50100;Инспекция Федеральной налоговой службы по г.Павловскому Посаду Московской области;,142502,Московская обл,,Павловский Посад г,,Фрунзе ул,30,,;49643-57074, 49643-57036;;50100;Инспекция Федеральной налоговой службы по г.Павловскому Посаду Московской области;,142502,Московская обл,,Павловский Посад г,,Фрунзе ул,30,,;49643-57074, 49643-57036;
5038;Межрайонная инспекция Федеральной налоговой службы №3 по Московской области;,141200,Московская обл,,Пушкино г,,Московский пр-кт,42,,;496-5393293, 495-5257033;Код ОКПО:11761937. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50103;Межрайонная инспекция Федеральной налоговой службы №3 по Московской области;,141200,Московская обл,,Пушкино г,,Московский пр-кт,42,,;095-9935347253-24854253-71339;;50103;Межрайонная инспекция Федеральной налоговой службы №3 по Московской области;,141200,Московская обл,,Пушкино г,,Московский пр-кт,42,,;095-9935347253-24854253-71339;
5040;Межрайонная инспекция Федеральной налоговой службы №1 по Московской области;,140180,Московская обл,,Жуковский г,,Баженова ул,11Б,,;495-4679639, 498-4802970, 496-4633079, 496-4669165,498-4802963;Код ОКПО:46248501000, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50104;Межрайонная инспекция Федеральной налоговой службы №1 по Московской области;,140180,Московская обл,,Жуковский г,,Баженова ул,11Б,,;496480-2963, 496480-2961;;50104;Межрайонная инспекция Федеральной налоговой службы №1 по Московской области;,140180,Московская обл,,Жуковский г,,Баженова ул,11Б,,;496480-2963, 496480-2961;
5042;Инспекция Федеральной налоговой службы по г.Сергиеву Посаду Московской области;,141310,Московская обл,Сергиево-Посадский р-н,Сергиев Посад г,С,Красной Армии пр,190,,;496-5412922, 496-5412609;Код ОКПО:11761989, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50106;Инспекция Федеральной налоговой службы по г.Сергиеву Посаду Московской области;,141315,Московская обл,,Сергиев Посад г,,Красной Армии пр,190,,;49654-12609, 49651-3531;;50106;Инспекция Федеральной налоговой службы по г.Сергиеву Посаду Московской области;,141315,Московская обл,,Сергиев Посад г,,Красной Армии пр,190,,;49654-12609, 49651-3531;
5043;Межрайонная инспекция Федеральной налоговой службы №11 по Московской области;,142203,Московская обл,,Серпухов г,,Луначарского ул,32,,;496-7351592, 496-7748491, 496-7354165;Код ОКПО:11761989, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50107;Межрайонная инспекция Федеральной налоговой службы №11 по Московской области;,142200,Московская обл,,Серпухов г,,Луначарского ул,32,,;4967-354165;;50107;Межрайонная инспекция Федеральной налоговой службы №11 по Московской области;,142200,Московская обл,,Серпухов г,,Луначарского ул,32,,;4967-354165;
5044;Инспекция Федеральной налоговой службы по г.Солнечногорску Московской области;,141503,Московская обл,,Солнечногорск г,,Баранова ул,6,,;496-2643764, 496-2626525, 495-9940038;Код ОКПО:11761995, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50108;Инспекция Федеральной налоговой службы по г.Солнечногорску Московской области;,141500,Московская обл,,Солнечногорск г,,Баранова ул,6,,;495-9940038;;50108;Инспекция Федеральной налоговой службы по г.Солнечногорску Московской области;,141500,Московская обл,,Солнечногорск г,,Баранова ул,6,,;495-9940038;
5045;Инспекция Федеральной налоговой службы по г.Ступино Московской области;,142803,Московская обл,,Ступино г,,Фрунзе ул,3,3,;496-6470734, 496-6425112;Код ОКПО:11762003. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50109;Инспекция Федеральной налоговой службы по г.Ступино Московской области;,142800,Московская обл,,Ступино г,,Фрунзе ул,3,3,;49664-41346;;50109;Инспекция Федеральной налоговой службы по г.Ступино Московской области;,142800,Московская обл,,Ступино г,,Фрунзе ул,3,3,;49664-41346;
5047;Межрайонная инспекция Федеральной налоговой службы №13 по Московской области;,141407,Московская обл,,Химки г,,Юбилейный пр-т,61,,;495-9848580, 495-4088998, 495-5772674;Код ОКПО:73099236. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50111;Межрайонная инспекция Федеральной налоговой службы №13 по Московской области;,141400,Московская обл,,Химки г,,Юбилейный пр-кт,61,,;495-7938711, 495-7938722;;50111;Межрайонная инспекция Федеральной налоговой службы №13 по Московской области;,141400,Московская обл,,Химки г,,Юбилейный пр-кт,61,,;495-7938711, 495-7938722;
5048;Инспекция Федеральной налоговой службы по г.Чехову Московской области;,142306,Московская обл,,Чехов г,,Дружбы ул,23,,;496-7230346, 496-7230601;Код ОКПО:11762032. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.;УФК по МО;46641101;7725057310;772501001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810600000010102;50112;Инспекция Федеральной налоговой службы по г.Чехову Московской области;,142300,Московская обл,,Чехов г,,Дружбы ул,23,,;49672-30601;;50112;Инспекция Федеральной налоговой службы по г.Чехову Московской области;,142300,Московская обл,,Чехов г,,Дружбы ул,23,,;49672-30601;
